bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,summary
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,"Set during�Harry Potter's sixth year at�Hogwarts, the�novel�explores the past of the boy wizard's nemesis, Lord Voldemort, and�Harry's�preparations for the final battle against Voldemort alongside his headmaster and mentor Albus Dumbledore."
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,09-01-2004,Scholastic Inc.,"Chapter 5�The�Order of the Phoenix. Sirius explains to�Harry�that Grimmauld Place was his parents' house, now his since he's the only Black left in his immediate family. ... When�Harry�tells him its been crappy, Sirius admits that he would have welcomed a dementor attack�anything to get his mind off the monotony."
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352,6333,244,11-01-2003,Scholastic,"Harry�replies that he must return to�Hogwarts, and Dobby leaps off the bed and enchants a violet pudding, causing the dessert for the dinner party to levitate. ... The Dursleys no longer fear that�Harry�will use magic on them, and�Harry�is locked in his room with the window barred, and he is fed through a flap in the door"
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,05-01-2004,Scholastic Inc.,"Harry�ends another insufferable summer at the Dursleys and hears about an escaped murderer, Sirius Black, in the Muggle news. ... When he learns that Sirius betrayed his parents and are to blame for their death,�Harry�vows to kill him."
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,"The�first five�years of�Harry Potter�magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, and The Order of the Phoenix."
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152,19,1,4/26/2005,Nimble Books,
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,09-12-2005,Scholastic,
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3628,254,11-01-2005,Gramercy Books,
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4930,460,08-03-2004,Crown,"The super short version of�The Hitchhiker's Guide to the Galaxy�is, well, weird stuff happens to Arthur Dent, regular Earth-person. But the real joy of this book is in the weird stuff; and there's so much of it that we can't even capture it all."
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78E+12,eng,815,2877,195,1/17/1996,Wings Books,
12,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78E+12,eng,544,248558,9396,9/14/2004,Broadway Books,"A Short History Of Nearly Everything�explains�everything�we've learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it's such a miracle that we're alive and how much of our planet is still a complete mystery to us."
13,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78E+12,eng,55,7270,499,12-03-2002,Broadway Books,"The�book�details a trip�Bryson�took to Kenya in 2002.�Bryson�describes his experiences there and observations about Kenyan culture, geography, and politics, as well as his visits to poverty-fighting projects run by CARE International, to which he donated all royalties for the�book."
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78E+12,eng,256,2088,131,9/14/2004,Broadway Books,
15,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12,eng,335,72451,4245,5/15/2001,Broadway Books,
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78E+12,eng,304,49240,2211,6/28/2000,Broadway Books,
17,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,
